lat,lon,start,end,note
-25.688832016166906,-43.15138975627848,2019-12-15,2019-12-19,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2019-12-25,2020-01-03,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-01-14,2020-01-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-02-08,2020-02-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-02-23,2020-03-18,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-03-24,2020-03-28,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-04-08,2020-04-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-04-18,2020-04-27,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-05-03,2020-05-22,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-06-12,2020-06-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-07-12,2020-07-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-07-22,2020-08-15,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-08-26,2020-09-09,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-10-20,2020-10-29,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-11-04,2020-11-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-11-24,2020-11-28,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2020-12-04,2020-12-23,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-01-13,2021-02-01,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-02-17,2021-02-26,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-05-03,2021-05-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-05-18,2021-06-01,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-06-12,2021-06-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2021-07-22,2021-08-15,possible venting from flaring dataset
