sgi,glint_alpha,sid
-0.6625811353483715,29.697617,20230830T162839_20230830T164019_T15QWB
-0.7778681668432561,33.27919,20230830T162839_20230830T164019_T15QWB
-0.712408181519561,28.543215,20230830T162839_20230830T164019_T15QWB
-0.6719424415314015,30.116858,20230830T162839_20230830T164019_T15QWB
-0.7692307648801497,32.647915,20230830T162839_20230830T164019_T15QWB
-0.7408256906944783,30.018068,20230830T162839_20230830T164019_T15QWB
-0.7384066618998307,31.821154,20230830T162839_20230830T164019_T15QWB
-0.7272727282680136,31.519674,20230830T162839_20230830T164019_T15QWB
-0.6910569260467379,30.209726,20230830T162839_20230830T164019_T15QWB
-0.7546558813631088,33.560707,20230830T162839_20230830T164019_T15QWB
-0.707373283830321,30.119873,20230830T162839_20230830T164019_T15QWB
-0.7052087176501209,32.934692,20230830T162839_20230830T164019_T15QWB
-0.5942028865530098,26.946667,20230830T162839_20230830T164019_T15QWB
-0.6432432497740662,27.112549,20230830T162839_20230830T164019_T15QWB
-0.7077557231950059,31.221043,20230830T162839_20230830T164019_T15QWB
-0.7734919868326958,33.47689,20230830T162839_20230830T164019_T15QWB
-0.619256007720469,26.65801,20230830T162839_20230830T164019_T15QWB
-0.7489943824056647,32.93919,20230830T162839_20230830T164019_T15QWB
-0.7248803776847309,31.04248,20230830T162839_20230830T164019_T15QWB
-0.7866004815977817,34.59496,20230830T162839_20230830T164019_T15QWB
-0.6052892571265528,27.152718,20230830T162839_20230830T164019_T15QWB
-0.6509290457477787,27.009829,20230830T162839_20230830T164019_T15QWB
-0.6874541483358233,29.594511,20230830T162839_20230830T164019_T15QWB
-0.5865992407966757,28.650204,20230830T162839_20230830T164019_T15QWB
-0.6571982067164854,27.545437,20230830T162839_20230830T164019_T15QWB
-0.6456615045462031,28.755436,20230830T162839_20230830T164019_T15QWB
-0.7450425023990979,33.87357,20230830T162839_20230830T164019_T15QWB
-0.7469586398403318,32.396503,20230830T162839_20230830T164019_T15QWB
-0.5610205971329855,25.875814,20230830T162839_20230830T164019_T15QWB
-0.6877168736230536,31.570583,20230830T162839_20230830T164019_T15QWB
-0.7114274791197684,32.454082,20230830T162839_20230830T164019_T15QWB
-0.7886639705972347,34.420746,20230830T162839_20230830T164019_T15QWB
-0.7059483626669292,31.647646,20230830T162839_20230830T164019_T15QWB
-0.7678056757529821,34.703323,20230830T162839_20230830T164019_T15QWB
-0.7071129720156475,28.54323,20230830T162839_20230830T164019_T15QWB
-0.5506035212537674,26.702513,20230830T162839_20230830T164019_T15QWB
-0.7083175228684874,30.224398,20230830T162839_20230830T164019_T15QWB
-0.7321428490434606,31.167606,20230830T162839_20230830T164019_T15QWB
-0.6681461181963381,30.372818,20230830T162839_20230830T164019_T15QWB
-0.70201644960418,30.467676,20230830T162839_20230830T164019_T15QWB
-0.6096477238553342,27.358744,20230830T162839_20230830T164019_T15QWB
-0.6870897213332088,30.79394,20230830T162839_20230830T164019_T15QWB
-0.6625397777191641,29.068624,20230830T162839_20230830T164019_T15QWB
-0.7578369837401477,33.14989,20230830T162839_20230830T164019_T15QWB
-0.7714748928106447,33.271797,20230830T162839_20230830T164019_T15QWB
-0.5857702762539129,27.358744,20230830T162839_20230830T164019_T15QWB
-0.779288270597919,33.155624,20230830T162839_20230830T164019_T15QWB
-0.6078817891647604,27.378468,20230830T162839_20230830T164019_T15QWB
-0.6081946176985616,26.80577,20230830T162839_20230830T164019_T15QWB
-0.7478448388115991,29.491901,20230830T162839_20230830T164019_T15QWB
-0.5681042663305329,26.927414,20230830T162839_20230830T164019_T15QWB
-0.674836040768822,28.752731,20230830T162839_20230830T164019_T15QWB
-0.6193078335967783,26.782232,20230830T162839_20230830T164019_T15QWB
-0.2928856480680438,34.20047,20230830T162839_20230830T164019_T15QWB
-0.7216853635692679,30.663109,20230830T162839_20230830T164019_T15QWB
-0.5896425562950689,26.370779,20230830T162839_20230830T164019_T15QWB
-0.6165063621582315,27.358744,20230830T162839_20230830T164019_T15QWB
-0.5695689658502779,27.564602,20230830T162839_20230830T164019_T15QWB
-0.6421193196781029,30.163431,20230830T162839_20230830T164019_T15QWB
-0.5624821312299728,26.115292,20230830T162839_20230830T164019_T15QWB
-0.6739834436653976,30.116858,20230830T162839_20230830T164019_T15QWB
-0.7420814429583306,32.944233,20230830T162839_20230830T164019_T15QWB
-0.7490829129356753,34.091026,20230830T162839_20230830T164019_T15QWB
-0.6681034458534267,30.117981,20230830T162839_20230830T164019_T15QWB
-0.6070287584425579,27.236746,20230830T162839_20230830T164019_T15QWB
-0.7394366324968213,33.247684,20230830T162839_20230830T164019_T15QWB
-0.5733573419508359,26.008892,20230830T162839_20230830T164019_T15QWB
-0.724299048643088,30.224398,20230830T162839_20230830T164019_T15QWB
-0.7894312191754863,34.11471,20230830T162839_20230830T164019_T15QWB
-0.7112299373928163,30.108353,20230830T162839_20230830T164019_T15QWB
-0.7264296709865566,30.99622,20230830T162839_20230830T164019_T15QWB
-0.6731601555760289,30.99622,20230830T162839_20230830T164019_T15QWB
-0.6408729981276721,29.280025,20230830T162839_20230830T164019_T15QWB
-0.658711996787604,28.437952,20230830T162839_20230830T164019_T15QWB
-0.5287061058590834,28.964037,20230830T162839_20230830T164019_T15QWB
