lat,lon,start,end,note
-25.688832016166906,-43.15138975627848,2024-07-16,2024-08-09,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-08-15,2024-08-24,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-08-30,2024-09-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-09-24,2024-10-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-10-24,2024-10-28,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-11-03,2024-11-07,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-11-18,2024-12-02,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2024-12-18,2024-12-22,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2025-01-12,2025-01-16,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2025-01-22,2025-01-31,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2025-02-06,2025-03-12,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2025-03-18,2025-05-11,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2025-05-19,2025-05-21,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2025-06-11,2025-06-20,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2025-06-26,2025-06-27,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2016-03-25,2016-04-23,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-03-15,2018-03-24,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-04-14,2018-05-03,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-05-14,2018-05-23,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-08-12,2018-08-21,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-09-11,2018-09-20,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-10-21,2018-10-30,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-12-10,2018-12-19,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2018-12-30,2019-01-08,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-01-19,2019-02-07,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-02-18,2019-02-27,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-04-19,2019-04-28,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-05-09,2019-05-18,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-06-18,2019-06-27,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-07-08,2019-07-17,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-10-26,2019-10-30,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-11-25,2019-12-04,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-12-15,2019-12-19,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2019-12-30,2020-01-03,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-01-14,2020-01-23,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-02-28,2020-03-18,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-03-24,2020-03-28,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-04-08,2020-04-12,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-04-18,2020-04-27,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-05-03,2020-05-22,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-05-28,2020-06-01,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-06-12,2020-06-16,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-06-22,2020-06-26,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-07-22,2020-08-15,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-08-31,2020-09-04,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-09-10,2020-09-14,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-10-20,2020-10-29,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-11-04,2020-11-08,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-11-29,2020-12-03,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2020-12-09,2020-12-18,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-02-22,2021-02-26,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-03-09,2021-03-13,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-04-23,2021-04-27,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-05-03,2021-06-16,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-07-02,2021-07-06,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-07-22,2021-08-15,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-08-21,2021-09-04,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-10-20,2021-10-29,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-11-04,2021-11-18,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-11-24,2021-11-28,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2021-12-19,2021-12-28,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-01-18,2022-01-27,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-03-19,2022-04-12,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-04-18,2022-04-27,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-05-08,2022-05-17,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-06-22,2022-07-16,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-07-22,2022-07-31,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-08-16,2022-08-20,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-08-26,2022-09-09,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-10-25,2022-10-29,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-12-14,2022-12-18,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2022-12-24,2022-12-28,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-01-13,2023-01-17,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-03-14,2023-03-18,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-04-08,2023-04-17,possible venting from flaring dataset
